representation,split_file,budget,seed,scheme,holdout_group,n_train_used,C_selected,inner_cv_folds_used,cv_selection_cells,n_dims_selected,seconds,pooled_macro_f1,pooled_macro_f1_all_test_classes,dataset,n_datasets_in_run,n_test,n_classes_learnable,n_classes_test_only,macro_f1,macro_f1_all_test_classes,accuracy
geneformer,S1_within_dataset__seed0.parquet,10,0,S1_within_dataset,,140,1.0,5,140,768,2.72,0.7347688180641796,0.7347688180641796,BRCA_GSE161529,13,6000,10,0,0.7901146823786507,0.7901146823786507,0.78
geneformer,S1_within_dataset__seed0.parquet,10,0,S1_within_dataset,,140,1.0,5,140,768,2.72,0.7347688180641796,0.7347688180641796,BRCA_GSE176078,13,6000,9,0,0.7569918827084166,0.7569918827084166,0.7353333333333333
geneformer,S1_within_dataset__seed0.parquet,10,0,S1_within_dataset,,140,1.0,5,140,768,2.72,0.7347688180641796,0.7347688180641796,CHOL_GSE125449_aPD1aPDL1aCTLA4,13,887,8,0,0.7489825112063524,0.7489825112063524,0.6403607666290868
geneformer,S1_within_dataset__seed0.parquet,10,0,S1_within_dataset,,140,1.0,5,140,768,2.72,0.7347688180641796,0.7347688180641796,CRC_GSE108989,13,2184,3,0,0.2792577261339556,0.2792577261339556,0.3108974358974359
geneformer,S1_within_dataset__seed0.parquet,10,0,S1_within_dataset,,140,1.0,5,140,768,2.72,0.7347688180641796,0.7347688180641796,CRC_GSE146771_10X,13,6000,7,0,0.749178216921796,0.749178216921796,0.6983333333333334
geneformer,S1_within_dataset__seed0.parquet,10,0,S1_within_dataset,,140,1.0,5,140,768,2.72,0.7347688180641796,0.7347688180641796,HNSC_GSE103322,13,1176,8,0,0.403358711229313,0.403358711229313,0.5892857142857143
geneformer,S1_within_dataset__seed0.parquet,10,0,S1_within_dataset,,140,1.0,5,140,768,2.72,0.7347688180641796,0.7347688180641796,LIHC_GSE140228_10X,13,5999,9,0,0.7216304832383755,0.7216304832383755,0.7327887981330222
geneformer,S1_within_dataset__seed0.parquet,10,0,S1_within_dataset,,140,1.0,5,140,768,2.72,0.7347688180641796,0.7347688180641796,LIHC_GSE98638,13,960,3,0,0.2188810773629158,0.2188810773629158,0.2604166666666667
geneformer,S1_within_dataset__seed0.parquet,10,0,S1_within_dataset,,140,1.0,5,140,768,2.72,0.7347688180641796,0.7347688180641796,NSCLC_GSE127465,13,6000,12,0,0.7641719143592901,0.7641719143592901,0.8255
geneformer,S1_within_dataset__seed0.parquet,10,0,S1_within_dataset,,140,1.0,5,140,768,2.72,0.7347688180641796,0.7347688180641796,NSCLC_GSE131907,13,6007,10,0,0.7420385136331562,0.7420385136331562,0.7121691360079907
geneformer,S1_within_dataset__seed0.parquet,10,0,S1_within_dataset,,140,1.0,5,140,768,2.72,0.7347688180641796,0.7347688180641796,PAAD_GSE111672,13,453,7,0,0.7517635289299914,0.7517635289299914,0.8631346578366446
geneformer,S1_within_dataset__seed0.parquet,10,0,S1_within_dataset,,140,1.0,5,140,768,2.72,0.7347688180641796,0.7347688180641796,PAAD_GSE154778,13,2989,6,0,0.6739653022274666,0.6739653022274666,0.8668450986952158
geneformer,S1_within_dataset__seed0.parquet,10,0,S1_within_dataset,,140,1.0,5,140,768,2.72,0.7347688180641796,0.7347688180641796,STAD_GSE134520,13,1308,6,0,0.5687768209807824,0.5687768209807824,0.6857798165137615
geneformer,S1_within_dataset__seed0.parquet,10,1,S1_within_dataset,,140,0.1,5,140,768,3.02,0.7637611981461622,0.7637611981461622,BRCA_GSE161529,13,6000,10,0,0.7518690342774406,0.7518690342774406,0.7326666666666667
geneformer,S1_within_dataset__seed0.parquet,10,1,S1_within_dataset,,140,0.1,5,140,768,3.02,0.7637611981461622,0.7637611981461622,BRCA_GSE176078,13,6000,9,0,0.7730125831094906,0.7730125831094906,0.7581666666666667
geneformer,S1_within_dataset__seed0.parquet,10,1,S1_within_dataset,,140,0.1,5,140,768,3.02,0.7637611981461622,0.7637611981461622,CHOL_GSE125449_aPD1aPDL1aCTLA4,13,887,8,0,0.7497522329236964,0.7497522329236964,0.6144306651634723
geneformer,S1_within_dataset__seed0.parquet,10,1,S1_within_dataset,,140,0.1,5,140,768,3.02,0.7637611981461622,0.7637611981461622,CRC_GSE108989,13,2184,3,0,0.7310257236429019,0.7310257236429019,0.7394688644688645
geneformer,S1_within_dataset__seed0.parquet,10,1,S1_within_dataset,,140,0.1,5,140,768,3.02,0.7637611981461622,0.7637611981461622,CRC_GSE146771_10X,13,6000,7,0,0.9011158064484952,0.9011158064484952,0.895
geneformer,S1_within_dataset__seed0.parquet,10,1,S1_within_dataset,,140,0.1,5,140,768,3.02,0.7637611981461622,0.7637611981461622,HNSC_GSE103322,13,1176,8,0,0.4876036577237111,0.4876036577237111,0.4863945578231292
geneformer,S1_within_dataset__seed0.parquet,10,1,S1_within_dataset,,140,0.1,5,140,768,3.02,0.7637611981461622,0.7637611981461622,LIHC_GSE140228_10X,13,5999,9,0,0.7555890568820988,0.7555890568820988,0.7662943823970662
geneformer,S1_within_dataset__seed0.parquet,10,1,S1_within_dataset,,140,0.1,5,140,768,3.02,0.7637611981461622,0.7637611981461622,LIHC_GSE98638,13,960,3,0,0.6977553799065345,0.6977553799065345,0.70625
geneformer,S1_within_dataset__seed0.parquet,10,1,S1_within_dataset,,140,0.1,5,140,768,3.02,0.7637611981461622,0.7637611981461622,NSCLC_GSE127465,13,6000,12,0,0.7700412554750821,0.7700412554750821,0.803
geneformer,S1_within_dataset__seed0.parquet,10,1,S1_within_dataset,,140,0.1,5,140,768,3.02,0.7637611981461622,0.7637611981461622,NSCLC_GSE131907,13,6007,10,0,0.693287285266069,0.693287285266069,0.6632262360579324
geneformer,S1_within_dataset__seed0.parquet,10,1,S1_within_dataset,,140,0.1,5,140,768,3.02,0.7637611981461622,0.7637611981461622,PAAD_GSE111672,13,453,7,0,0.7608416331479305,0.7608416331479305,0.6622516556291391
geneformer,S1_within_dataset__seed0.parquet,10,1,S1_within_dataset,,140,0.1,5,140,768,3.02,0.7637611981461622,0.7637611981461622,PAAD_GSE154778,13,2989,6,0,0.6104603901154075,0.6104603901154075,0.8263633322181332
geneformer,S1_within_dataset__seed0.parquet,10,1,S1_within_dataset,,140,0.1,5,140,768,3.02,0.7637611981461622,0.7637611981461622,STAD_GSE134520,13,1308,6,0,0.7498795175522571,0.7498795175522571,0.7958715596330275
geneformer,S1_within_dataset__seed0.parquet,10,2,S1_within_dataset,,140,1.0,5,140,768,2.94,0.7616045129506125,0.7616045129506125,BRCA_GSE161529,13,6000,10,0,0.7177688197773753,0.7177688197773753,0.7141666666666666
geneformer,S1_within_dataset__seed0.parquet,10,2,S1_within_dataset,,140,1.0,5,140,768,2.94,0.7616045129506125,0.7616045129506125,BRCA_GSE176078,13,6000,9,0,0.6547952255229429,0.6547952255229429,0.6516666666666666
geneformer,S1_within_dataset__seed0.parquet,10,2,S1_within_dataset,,140,1.0,5,140,768,2.94,0.7616045129506125,0.7616045129506125,CHOL_GSE125449_aPD1aPDL1aCTLA4,13,887,8,0,0.803318406776018,0.803318406776018,0.7091319052987599
geneformer,S1_within_dataset__seed0.parquet,10,2,S1_within_dataset,,140,1.0,5,140,768,2.94,0.7616045129506125,0.7616045129506125,CRC_GSE108989,13,2184,3,0,0.7102540094979991,0.7102540094979991,0.8044871794871795
geneformer,S1_within_dataset__seed0.parquet,10,2,S1_within_dataset,,140,1.0,5,140,768,2.94,0.7616045129506125,0.7616045129506125,CRC_GSE146771_10X,13,6000,7,0,0.8364728549887896,0.8364728549887896,0.8418333333333333
geneformer,S1_within_dataset__seed0.parquet,10,2,S1_within_dataset,,140,1.0,5,140,768,2.94,0.7616045129506125,0.7616045129506125,HNSC_GSE103322,13,1176,8,0,0.6947849353829358,0.6947849353829358,0.7865646258503401
geneformer,S1_within_dataset__seed0.parquet,10,2,S1_within_dataset,,140,1.0,5,140,768,2.94,0.7616045129506125,0.7616045129506125,LIHC_GSE140228_10X,13,5999,9,0,0.8221273267015713,0.8221273267015713,0.8403067177862977
geneformer,S1_within_dataset__seed0.parquet,10,2,S1_within_dataset,,140,1.0,5,140,768,2.94,0.7616045129506125,0.7616045129506125,LIHC_GSE98638,13,960,3,0,0.7861767011468094,0.7861767011468094,0.7833333333333333
geneformer,S1_within_dataset__seed0.parquet,10,2,S1_within_dataset,,140,1.0,5,140,768,2.94,0.7616045129506125,0.7616045129506125,NSCLC_GSE127465,13,6000,12,0,0.7612951905684334,0.7612951905684334,0.7651666666666667
geneformer,S1_within_dataset__seed0.parquet,10,2,S1_within_dataset,,140,1.0,5,140,768,2.94,0.7616045129506125,0.7616045129506125,NSCLC_GSE131907,13,6007,10,0,0.7267826153937721,0.7267826153937721,0.696354253371067
geneformer,S1_within_dataset__seed0.parquet,10,2,S1_within_dataset,,140,1.0,5,140,768,2.94,0.7616045129506125,0.7616045129506125,PAAD_GSE111672,13,453,7,0,0.6957990134535301,0.6957990134535301,0.869757174392936
geneformer,S1_within_dataset__seed0.parquet,10,2,S1_within_dataset,,140,1.0,5,140,768,2.94,0.7616045129506125,0.7616045129506125,PAAD_GSE154778,13,2989,6,0,0.576886586919208,0.576886586919208,0.8581465373034459
geneformer,S1_within_dataset__seed0.parquet,10,2,S1_within_dataset,,140,1.0,5,140,768,2.94,0.7616045129506125,0.7616045129506125,STAD_GSE134520,13,1308,6,0,0.5963572917511691,0.5963572917511691,0.5879204892966361
geneformer,S1_within_dataset__seed0.parquet,10,3,S1_within_dataset,,140,0.01,5,140,768,3.17,0.7063315644157614,0.7063315644157614,BRCA_GSE161529,13,6000,10,0,0.6950409576020391,0.6950409576020391,0.698
geneformer,S1_within_dataset__seed0.parquet,10,3,S1_within_dataset,,140,0.01,5,140,768,3.17,0.7063315644157614,0.7063315644157614,BRCA_GSE176078,13,6000,9,0,0.6545087330506326,0.6545087330506326,0.6295
geneformer,S1_within_dataset__seed0.parquet,10,3,S1_within_dataset,,140,0.01,5,140,768,3.17,0.7063315644157614,0.7063315644157614,CHOL_GSE125449_aPD1aPDL1aCTLA4,13,887,8,0,0.6455205424389265,0.6455205424389265,0.4915445321307779
geneformer,S1_within_dataset__seed0.parquet,10,3,S1_within_dataset,,140,0.01,5,140,768,3.17,0.7063315644157614,0.7063315644157614,CRC_GSE108989,13,2184,3,0,0.4499670933188089,0.4499670933188089,0.5160256410256411
geneformer,S1_within_dataset__seed0.parquet,10,3,S1_within_dataset,,140,0.01,5,140,768,3.17,0.7063315644157614,0.7063315644157614,CRC_GSE146771_10X,13,6000,7,0,0.6340401397365334,0.6340401397365334,0.6283333333333333
geneformer,S1_within_dataset__seed0.parquet,10,3,S1_within_dataset,,140,0.01,5,140,768,3.17,0.7063315644157614,0.7063315644157614,HNSC_GSE103322,13,1176,8,0,0.5955911467283517,0.5955911467283517,0.3860544217687074
geneformer,S1_within_dataset__seed0.parquet,10,3,S1_within_dataset,,140,0.01,5,140,768,3.17,0.7063315644157614,0.7063315644157614,LIHC_GSE140228_10X,13,5999,9,0,0.6869961502447479,0.6869961502447479,0.6837806301050176
geneformer,S1_within_dataset__seed0.parquet,10,3,S1_within_dataset,,140,0.01,5,140,768,3.17,0.7063315644157614,0.7063315644157614,LIHC_GSE98638,13,960,3,0,0.4382828586482546,0.4382828586482546,0.48125
geneformer,S1_within_dataset__seed0.parquet,10,3,S1_within_dataset,,140,0.01,5,140,768,3.17,0.7063315644157614,0.7063315644157614,NSCLC_GSE127465,13,6000,12,0,0.8181708425778892,0.8181708425778892,0.8218333333333333
geneformer,S1_within_dataset__seed0.parquet,10,3,S1_within_dataset,,140,0.01,5,140,768,3.17,0.7063315644157614,0.7063315644157614,NSCLC_GSE131907,13,6007,10,0,0.6923197125360978,0.6923197125360978,0.6607291493257866
geneformer,S1_within_dataset__seed0.parquet,10,3,S1_within_dataset,,140,0.01,5,140,768,3.17,0.7063315644157614,0.7063315644157614,PAAD_GSE111672,13,453,7,0,0.7194538845511093,0.7194538845511093,0.7748344370860927
